article_title,page_size,num_watchers,num_edits,num_redirects,creation_date,last_edit_date,authors_in_last30,page_views_last30
North Geelong Football Club,"3,987",Fewer than 30 watchers,49,Yes,"07:07, 27 June 2007","10:48, 9 January 2018",1,104
Los Huracanes del Norte,"4,573",Fewer than 30 watchers,95,Yes,"01:13, 12 February 2008","00:51, 10 October 2017",0,"2,007"
Chester Sipkin,"2,624",Fewer than 30 watchers,46,Yes,"23:05, 25 November 2007","09:24, 1 June 2017",0,39
200–208 Decatur Street,"1,736",Fewer than 30 watchers,29,Yes,"16:48, 6 October 2008","17:39, 26 February 2017",0,34
Bataira Pain,"3,143",Fewer than 30 watchers,15,Yes,"18:13, 30 November 2014","19:18, 15 July 2017",0,20
2009 Købstædernes ATP Challenger – Doubles,"7,580",Fewer than 30 watchers,12,Yes,"22:29, 5 October 2010","11:18, 21 January 2018",1,31
Sascha Kindred,"14,956",Fewer than 30 watchers,99,Yes,"11:51, 16 September 2008","10:47, 10 June 2017",0,173
Neon Indian,"25,456",30,525,1,"20:15, 14 October 2009","19:01, 22 November 2017",0,"7,541"
Schaaken Castle,"5,429",Fewer than 30 watchers,11,Yes,"18:36, 15 February 2015","13:20, 29 June 2017",0,126
Heredero,"1,646",Fewer than 30 watchers,65,Yes,"03:09, 19 August 2008","18:39, 26 December 2016",0,179
Downtown Churches Historic District,"2,910",Fewer than 30 watchers,18,Yes,"08:20, 30 December 2012","20:32, 30 December 2017",1,29
2010 in Paraguayan football,"12,062",Fewer than 30 watchers,76,Yes,"03:27, 13 March 2010","17:27, 29 October 2017",0,54
Donaldo Ernesto Reyes,872,Fewer than 30 watchers,8,Yes,"23:10, 3 July 2013","09:32, 8 July 2017",0,43
Antarctica New Zealand,"3,359",Fewer than 30 watchers,44,Yes,"07:21, 7 July 2005","09:41, 8 September 2017",0,392
M. Qasim Jan,"15,861",Fewer than 30 watchers,120,Yes,"07:37, 30 May 2009","08:32, 10 January 2018",1,130
Jeju Island,"28,191",30,205,16,"17:46, 17 April 2005","01:30, 19 December 2017",0,"30,123"
"Siemkowo, Kuyavian-Pomeranian Voivodeship","1,559",Fewer than 30 watchers,8,Yes,"10:31, 7 July 2008","19:50, 25 March 2017",0,38
USS ,"6,427",Fewer than 30 watchers,45,Yes,"12:18, 11 November 2007","14:36, 10 January 2017",0,339
Taygete sphecophila,"1,753",Fewer than 30 watchers,4,Yes,"04:20, 28 November 2015","15:06, 30 July 2016",0,19
SS ,528,Fewer than 30 watchers,5,Yes,"12:36, 2 January 2010","08:26, 15 July 2017",0,60
William Fennor,"1,292",Fewer than 30 watchers,29,Yes,"11:10, 12 November 2007","23:51, 25 September 2017",0,54
Judith Feldman,"1,052",Fewer than 30 watchers,5,Yes,"15:35, 17 August 2008","21:06, 12 April 2016",0,82
United States Billiard Association,"1,114",Fewer than 30 watchers,19,Yes,"07:24, 27 March 2012","18:54, 26 May 2017",0,43
Juan Salcedo Jr.,870,Fewer than 30 watchers,14,Yes,"17:33, 13 February 2010","07:10, 31 May 2016",0,95
Kevan Barbour,"2,517",Fewer than 30 watchers,14,Yes,"00:50, 15 June 2007","04:29, 23 March 2016",0,86
Aleksei Argun,857,Fewer than 30 watchers,10,Yes,"19:50, 9 November 2013","10:44, 20 July 2017",0,31
Riviera Independent School District,"1,106",Fewer than 30 watchers,16,Yes,"10:42, 24 September 2006","17:15, 19 September 2013",0,57
Pelawatte,"2,435",Fewer than 30 watchers,82,Yes,"11:13, 11 March 2008","01:58, 11 November 2017",0,90
George Relph,"6,006",Fewer than 30 watchers,75,Yes,"18:10, 22 April 2006","22:53, 30 November 2017",0,"1,340"
Soul Train Music Awards,"9,270",Fewer than 30 watchers,380,Yes,"04:43, 6 July 2005","08:34, 12 November 2017",0,"3,158"
Abid Raja,"13,808",Fewer than 30 watchers,156,Yes,"19:26, 7 January 2005","22:03, 15 December 2017",0,564
Remote experiment,"4,342",Fewer than 30 watchers,30,Yes,"15:15, 29 August 2010","15:56, 10 September 2017",0,40
Pasley baronets,"1,774",Fewer than 30 watchers,15,Yes,"10:48, 13 March 2008","23:41, 27 October 2016",0,92
Chōji,"3,731",Fewer than 30 watchers,56,Yes,"21:10, 6 October 2007","09:57, 20 July 2017",0,89
Bont Goch,"14,280",Fewer than 30 watchers,58,Yes,"18:36, 30 March 2014","01:27, 7 November 2017",0,67
Svein Harald Øygard,"1,865",Fewer than 30 watchers,27,Yes,"21:33, 1 March 2009","14:31, 6 February 2017",0,90
Challenge of the Ancient Empires!,"9,543",Fewer than 30 watchers,104,Yes,"00:05, 19 October 2005","03:13, 2 July 2017",0,471
The Gospel in Brief,"7,439",Fewer than 30 watchers,7,Yes,"16:00, 16 November 2017","23:55, 16 November 2017",0,238
Savannah Dooley,"4,382",Fewer than 30 watchers,16,Yes,"04:43, 13 December 2010","12:30, 25 February 2017",0,"1,155"
Paget,"2,781",Fewer than 30 watchers,48,Yes,"20:42, 8 September 2006","23:54, 26 March 2016",0,395
History of Chinese Americans in Seattle,"12,527",Fewer than 30 watchers,99,Yes,"18:31, 14 June 2014","11:43, 2 November 2017",0,433
Cedar Falls Independent Order of Odd Fellows Temple,"3,217",Fewer than 30 watchers,25,Yes,"03:43, 9 October 2010","17:38, 13 November 2017",0,40
Rory Donnelly,"14,743",Fewer than 30 watchers,320,Yes,"13:35, 22 December 2011","23:56, 15 November 2017",0,"1,197"
2010 Indoor Football League season,"10,639",Fewer than 30 watchers,105,Yes,"02:37, 16 March 2010","22:04, 8 July 2017",0,126
Charles Marshall (Surrey cricketer),673,Fewer than 30 watchers,5,Yes,"11:59, 11 March 2017","14:13, 8 November 2017",0,24
KIAA0101,"7,919",Fewer than 30 watchers,32,Yes,"06:53, 10 April 2008","06:39, 27 October 2017",0,97
Şehzadeler,"1,299",Fewer than 30 watchers,24,Yes,"13:06, 9 June 2013","06:05, 5 October 2017",0,46
Internal medicine,"18,600",119,637,8,"10:51, 3 April 2003","15:26, 13 November 2017",0,"31,786"
FC Iskra Novoaleksandrovsk,"1,274",Fewer than 30 watchers,5,Yes,"20:43, 21 July 2009","13:19, 20 March 2013",0,44
The Squiz,"2,663",Fewer than 30 watchers,30,Yes,"03:27, 17 June 2009","16:59, 8 January 2017",0,93
Grafton United Cricket Club,"2,658",Fewer than 30 watchers,48,Yes,"21:48, 19 March 2011","07:59, 30 December 2017",1,64
Xanthodura,998,Fewer than 30 watchers,8,Yes,"02:47, 18 July 2009","20:25, 16 February 2017",0,28
List of covered bridges in Ohio,"18,038",Fewer than 30 watchers,90,Yes,"03:20, 1 October 2008","21:04, 15 January 2018",1,425
Nathan Daboll (politician),"4,217",Fewer than 30 watchers,24,Yes,"02:25, 26 May 2008","06:11, 30 October 2017",0,57
Diasemia accalis,"1,330",Fewer than 30 watchers,11,Yes,"06:58, 12 December 2014","00:36, 25 December 2017",1,29
Matthieu Androdias,"1,333",Fewer than 30 watchers,2,Yes,"19:15, 10 August 2016","19:16, 10 August 2016",0,24
"Kamalabad, Qazvin","1,890",Fewer than 30 watchers,5,Yes,"23:31, 29 March 2012","23:33, 21 March 2017",0,33
Keith Mansfield,"4,370",Fewer than 30 watchers,114,Yes,"00:40, 30 April 2006","22:19, 30 September 2017",0,"1,081"
Horizon Christian School,"3,202",Fewer than 30 watchers,32,Yes,"06:27, 7 July 2009","00:52, 28 December 2017",2,79
Raid on Symi,"10,010",Fewer than 30 watchers,41,Yes,"20:25, 8 May 2014","22:16, 27 November 2017",0,346
National Ethnographic Museum (Berat),"2,537",Fewer than 30 watchers,27,Yes,"18:29, 11 September 2010","16:40, 3 August 2017",0,86
"Aaviku, Harju County","3,484",Fewer than 30 watchers,14,Yes,"18:38, 5 July 2010","22:05, 24 June 2017",0,56
Parirazona bomana,"1,370",Fewer than 30 watchers,5,Yes,"08:53, 24 March 2014","02:05, 30 November 2017",0,16
Carmella Cammeniti,"34,995",Fewer than 30 watchers,653,Yes,"07:22, 11 July 2006","01:03, 6 December 2017",0,"1,050"
Nati (dance),"2,041",Fewer than 30 watchers,26,Yes,"01:18, 21 March 2012","12:21, 8 December 2017",0,"1,081"
"Ali, the Fighter","2,220",Fewer than 30 watchers,17,Yes,"11:34, 24 June 2017","11:58, 24 June 2017",0,72
Charles Martel,"10,645",Fewer than 30 watchers,79,Yes,"21:35, 22 April 2008","15:21, 23 June 2017",0,220
Buffalo Bulls men's basketball,"13,444",Fewer than 30 watchers,205,Yes,"23:09, 10 February 2007","02:06, 20 January 2018",2,"1,939"
Löchgau,"2,116",Fewer than 30 watchers,45,Yes,"04:59, 8 August 2006","19:41, 23 October 2017",0,94
Pottawatomie Light,"8,613",Fewer than 30 watchers,107,Yes,"20:07, 29 June 2005","20:13, 30 September 2017",0,98
Cumanagoto people,"2,838",Fewer than 30 watchers,29,Yes,"17:57, 14 December 2009","16:50, 5 April 2017",0,103
Modern Chess (chess variant),"3,179",Fewer than 30 watchers,67,Yes,"00:12, 5 June 2008","02:18, 19 May 2017",0,261
Hazart Shama Ghaus Halt railway station,"1,428",Fewer than 30 watchers,8,Yes,"13:03, 1 November 2014","04:22, 9 December 2017",0,24
Zagrebelny,255,Fewer than 30 watchers,3,Yes,"12:43, 3 February 2014","13:04, 3 February 2014",0,26
Indie Megabooth,"5,869",Fewer than 30 watchers,20,Yes,"07:37, 11 June 2013","05:58, 10 January 2018",1,45
Roy Lake State Park,"3,571",Fewer than 30 watchers,6,Yes,"21:49, 19 November 2015","22:42, 22 May 2017",0,59
Time in Rhode Island,"1,196",Fewer than 30 watchers,6,Yes,"19:32, 6 February 2017","14:40, 27 July 2017",0,62
Leander Haußmann,"2,304",Fewer than 30 watchers,61,Yes,"23:22, 31 July 2004","14:53, 12 March 2016",0,211
Criminal Investigation Department (Singapore),"7,503",Fewer than 30 watchers,13,Yes,"09:45, 18 September 2014","13:18, 7 June 2017",0,537
Multilevel Monte Carlo method,"7,028",Fewer than 30 watchers,16,Yes,"20:06, 26 October 2017","13:28, 2 January 2018",1,197
Kenneth Cranham,"13,913",Fewer than 30 watchers,221,Yes,"01:55, 18 October 2005","06:02, 19 January 2018",2,"18,701"
Pentax K-01,"8,647",Fewer than 30 watchers,75,Yes,"18:32, 4 February 2012","13:57, 8 October 2016",0,704
Abul Hasan Hankari,"11,286",Fewer than 30 watchers,19,Yes,"19:02, 24 September 2015","16:40, 25 June 2017",0,557
Anisur Khuda-Bukhsh,"2,690",Fewer than 30 watchers,57,Yes,"23:12, 27 July 2015","21:48, 8 January 2018",2,74
Laurence Traiger,"30,315",Fewer than 30 watchers,394,Yes,"16:33, 26 June 2010","10:05, 18 December 2017",0,70
Artyom Petrov,"1,390",Fewer than 30 watchers,13,Yes,"07:11, 28 April 2013","01:35, 28 August 2017",0,24
Tambouè,"3,007",Fewer than 30 watchers,9,Yes,"15:22, 15 June 2008","00:36, 8 February 2016",0,74
Stephen J. Gordon,"3,042",Fewer than 30 watchers,95,Yes,"11:26, 27 September 2004","20:04, 20 December 2017",0,186
List of New York State Historic Markers,"13,485",Fewer than 30 watchers,106,Yes,"14:47, 19 October 2005","04:16, 1 January 2018",2,547
Harry Grumpelt,"1,529",Fewer than 30 watchers,19,Yes,"10:20, 3 March 2008","16:35, 5 November 2016",0,42
Alfred Newman Gilbey,"4,488",Fewer than 30 watchers,42,Yes,"15:39, 9 October 2009","22:04, 23 December 2017",0,144
Battle of Tamames,"4,350",Fewer than 30 watchers,45,Yes,"05:47, 13 December 2005","21:44, 1 June 2017",0,223
Diana Golbi,"9,066",Fewer than 30 watchers,86,Yes,"11:26, 5 September 2010","16:51, 6 October 2017",0,278
Good & Evil,"5,746",Fewer than 30 watchers,69,Yes,"23:03, 7 March 2010","17:31, 8 July 2017",0,330
Louise Moillon,"4,358",Fewer than 30 watchers,81,Yes,"23:54, 28 November 2005","10:30, 16 December 2017",0,285
East Timor Cycling Federation,638,Fewer than 30 watchers,18,Yes,"23:16, 18 February 2007","05:53, 7 May 2017",0,44
Rhymney Railway,"41,992",Fewer than 30 watchers,128,Yes,"06:46, 9 November 2004","08:12, 15 November 2017",0,371
Cinema Politica,"4,488",Fewer than 30 watchers,34,Yes,"14:09, 12 May 2011","06:00, 27 February 2015",0,67
Deaths in 2000,"65,807",Fewer than 30 watchers,736,Yes,"18:40, 20 January 2008","12:14, 16 January 2018",4,"3,684"
2019 FIBA Basketball World Cup qualification (Asia),"41,202",Fewer than 30 watchers,204,Yes,"15:29, 11 May 2017","10:17, 13 January 2018",10,"4,660"
Marek Woźniak,"1,685",Fewer than 30 watchers,7,Yes,"16:10, 11 January 2016","10:46, 30 December 2016",0,33
Batley Bulldogs,"27,180",Fewer than 30 watchers,768,Yes,"16:52, 2 October 2005","22:49, 15 January 2018",7,"1,190"
Blues Power,"3,798",Fewer than 30 watchers,16,Yes,"16:03, 16 August 2015","16:03, 10 March 2016",0,378
Bedford Area School District,"106,223",Fewer than 30 watchers,85,Yes,"18:30, 4 June 2009","05:05, 7 December 2017",0,197
Electoral district of Cressy,"1,392",Fewer than 30 watchers,11,Yes,"06:47, 4 December 2008","23:57, 14 September 2015",0,45
Walmore Common,"4,515",Fewer than 30 watchers,44,Yes,"20:05, 7 February 2005","00:44, 4 June 2017",0,57
Austromitra tasmanica,"1,302",Fewer than 30 watchers,7,Yes,"14:06, 24 April 2010","17:08, 14 January 2017",0,26
"Federal Correctional Institution, Oakdale","10,877",30,96,2,"18:15, 5 July 2012","04:31, 29 September 2017",0,837
Marvin Klegman,"4,854",Fewer than 30 watchers,25,Yes,"05:22, 5 June 2014","04:49, 20 January 2018",1,125
Huiji 2nd Road Station,"1,810",Fewer than 30 watchers,6,Yes,"08:13, 29 December 2015","23:01, 14 November 2016",0,29
"Pawhuska Township, Camden County, Missouri","6,214",Fewer than 30 watchers,12,Yes,"04:27, 17 May 2009","04:06, 15 January 2018",1,40
Chaukhan,442,Fewer than 30 watchers,6,Yes,"08:12, 30 July 2014","11:45, 7 September 2014",0,39
Cesse Aqueduct,"3,468",Fewer than 30 watchers,23,Yes,"15:01, 5 October 2009","14:21, 4 September 2017",0,50
DarkSpyre,"2,666",Fewer than 30 watchers,30,Yes,"01:28, 4 September 2009","23:58, 20 January 2018",1,187
Anthony Fiorillo,"9,253",Fewer than 30 watchers,46,Yes,"01:33, 12 November 2010","06:58, 24 August 2017",0,73
Military Medal for Gallantry,"8,843",Fewer than 30 watchers,28,Yes,"23:25, 20 October 2012","23:27, 23 July 2017",0,604
Urakawa Station (Shizuoka),"2,476",Fewer than 30 watchers,12,Yes,"02:52, 19 April 2009","09:57, 16 May 2017",0,41
Ken Schrader,"170,306",Fewer than 30 watchers,553,Yes,"20:28, 30 March 2005","11:36, 8 December 2017",0,"3,336"
Everett Glass,"3,200",Fewer than 30 watchers,27,Yes,"16:05, 16 January 2011","04:11, 16 March 2017",0,599
Francis W. Palmer,"4,323",Fewer than 30 watchers,59,Yes,"17:54, 27 May 2007","20:41, 11 December 2017",0,118
List of ,"41,749",Fewer than 30 watchers,753,Yes,"18:27, 3 June 2007","22:16, 7 January 2018",2,"14,520"
Emmersdorf an der Donau,972,Fewer than 30 watchers,27,Yes,"12:58, 1 May 2007","08:07, 26 January 2017",0,125
"City of Lincoln Council election, 2000","1,325",Fewer than 30 watchers,15,Yes,"09:53, 28 April 2008","22:11, 29 November 2015",0,49
Luke McShane,"9,814",Fewer than 30 watchers,211,Yes,"00:01, 9 June 2003","23:05, 8 January 2018",1,529
Pavle Popara,"4,132",Fewer than 30 watchers,124,Yes,"10:47, 12 July 2008","13:25, 10 January 2018",2,209
Ramoetsana,"4,461",Fewer than 30 watchers,14,Yes,"02:31, 19 January 2010","01:05, 28 March 2017",0,50
Curtis Armstrong,"15,457",38,646,0,"16:34, 8 October 2004","23:54, 17 January 2018",2,"19,524"
Moral support,"1,356",Fewer than 30 watchers,52,Yes,"18:00, 5 September 2003","06:25, 23 December 2015",0,"1,696"
"Baltalı, Tarsus","2,355",Fewer than 30 watchers,14,Yes,"08:15, 25 July 2012","03:02, 29 July 2017",0,34
Alpinacris tumidicauda,"5,288",Fewer than 30 watchers,35,Yes,"03:23, 21 December 2010","00:42, 15 October 2016",0,40
Hillstomp,"2,031",Fewer than 30 watchers,62,Yes,"07:09, 1 July 2005","02:45, 6 January 2018",2,153
Morozovsky (rural locality),"1,820",Fewer than 30 watchers,1,Yes,"15:40, 6 November 2012","15:40, 6 November 2012",0,26
Matteo Ceccarini,"15,971",Fewer than 30 watchers,267,Yes,"17:04, 15 April 2014","23:57, 21 January 2018",1,484
List of Ultratop 40 number-one singles of 2009,"2,967",Fewer than 30 watchers,77,Yes,"12:20, 15 January 2009","01:47, 12 July 2017",0,129
Italian destroyer ,"18,150",Fewer than 30 watchers,32,Yes,"02:38, 22 December 2017","05:21, 12 January 2018",1,182
Center for Urban Environmental Research and Education,"3,389",Fewer than 30 watchers,11,Yes,"03:28, 9 October 2013","23:01, 1 August 2017",0,26
Tenjin (kami),"4,497",Fewer than 30 watchers,66,Yes,"10:26, 11 September 2005","02:01, 26 December 2017",1,"2,551"
Old Man from the Mountain,"2,667",Fewer than 30 watchers,25,Yes,"18:11, 22 December 2009","21:03, 5 January 2017",0,172
Rede dos Emissores Portugueses,"2,580",Fewer than 30 watchers,13,Yes,"15:00, 8 August 2008","11:05, 11 November 2017",0,53
Ain't No Cure for Love,"4,108",Fewer than 30 watchers,68,Yes,"19:54, 23 September 2006","05:23, 15 February 2017",0,380
Yeltsin Jacques,"2,777",Fewer than 30 watchers,3,Yes,"08:01, 25 October 2016","22:36, 4 December 2017",0,36
National Women's Service,"4,671",Fewer than 30 watchers,25,Yes,"09:35, 16 June 2006","03:22, 7 November 2017",0,109
Pod vegetable,411,Fewer than 30 watchers,21,Yes,"10:38, 18 May 2013","01:39, 17 June 2017",0,660
Olav Haukvik,640,Fewer than 30 watchers,18,Yes,"07:27, 7 February 2006","20:27, 25 February 2016",0,37
Sebastiano Zanetti,"1,558",Fewer than 30 watchers,2,Yes,"06:48, 10 December 2017","06:48, 10 December 2017",0,26
TimeLine Theatre Company,"5,275",Fewer than 30 watchers,42,Yes,"18:51, 2 September 2010","18:22, 1 December 2017",0,66
"Manu'a District, American Samoa","1,595",Fewer than 30 watchers,15,Yes,"23:56, 27 October 2011","11:14, 17 January 2017",0,207
George T. Warren,"2,243",Fewer than 30 watchers,15,Yes,"18:29, 12 February 2009","10:05, 23 June 2016",0,39
Locust Grove/R.E. Luttrell Farmstead,"2,093",Fewer than 30 watchers,8,Yes,"13:06, 12 March 2014","05:38, 2 January 2018",1,23
Kāneʻohe Bay,"5,826",Fewer than 30 watchers,83,Yes,"22:39, 25 July 2003","03:12, 22 January 2018",1,"1,099"
Karoro Pond,528,Fewer than 30 watchers,6,Yes,"05:52, 19 January 2016","22:00, 19 January 2016",0,29
Zakrzyn,"1,517",Fewer than 30 watchers,5,Yes,"10:21, 7 January 2009","07:47, 21 March 2017",0,32
CSS ,"13,133",Fewer than 30 watchers,127,Yes,"05:57, 19 August 2004","11:04, 25 July 2017",0,528
Volvo L340,"1,867",Fewer than 30 watchers,6,Yes,"16:45, 29 August 2012","08:09, 18 November 2015",0,116
Altern-8,"11,853",Fewer than 30 watchers,246,Yes,"12:05, 17 December 2003","23:15, 10 December 2017",0,980
H. B. Parkinson,"1,707",Fewer than 30 watchers,19,Yes,"13:55, 4 September 2011","10:03, 17 September 2017",0,51
John L. Cotter,"11,894",Fewer than 30 watchers,48,Yes,"22:53, 30 October 2010","04:20, 28 November 2017",0,88
Drinking fountains in the United States,"24,046",Fewer than 30 watchers,147,Yes,"18:58, 25 October 2014","01:25, 18 January 2018",1,513
Hamburg U-Bahn,"35,042",Fewer than 30 watchers,302,Yes,"12:01, 11 April 2005","20:56, 2 January 2018",3,"2,522"
James Madison Bell,"5,294",Fewer than 30 watchers,57,Yes,"20:45, 6 February 2016","15:12, 7 October 2017",0,64
ObjectDatabase++,"15,010",Fewer than 30 watchers,68,Yes,"07:24, 10 October 2012","01:19, 22 October 2017",0,108
Correzzola,"4,013",Fewer than 30 watchers,39,Yes,"13:47, 27 August 2006","10:21, 4 March 2017",0,41
Đorđe Marković,735,Fewer than 30 watchers,17,Yes,"21:18, 28 July 2012","12:54, 28 July 2016",0,42
"Comas District, Concepción","3,616",Fewer than 30 watchers,21,Yes,"19:03, 28 April 2008","13:33, 4 December 2017",0,63
Headley Britannia,"5,184",Fewer than 30 watchers,61,Yes,"20:33, 10 September 2006","21:57, 8 September 2016",0,60
Razlog dialect,"3,732",Fewer than 30 watchers,16,Yes,"22:43, 3 August 2008","08:43, 17 March 2017",0,86
Norwegian Elkhound,"13,391",53,411,6,"02:30, 9 September 2004","00:13, 25 June 2017",0,"17,630"
David A. Bailey,"4,379",Fewer than 30 watchers,31,Yes,"08:10, 14 July 2010","16:12, 6 October 2017",0,109
3DO Blaster,"3,458",Fewer than 30 watchers,64,Yes,"23:23, 20 November 2006","03:09, 6 June 2017",0,487
"Mount Sinai School (Ramnagar, Uttarakhand)","1,227",Fewer than 30 watchers,20,Yes,"07:23, 25 November 2013","20:41, 17 December 2017",0,56
1926 Haskell Fighting Indians football team,"6,354",Fewer than 30 watchers,21,Yes,"02:29, 10 November 2015","20:50, 21 July 2017",0,33
Matt Cameron,"39,358",36,"1,145",3,"16:01, 20 June 2004","02:17, 18 January 2018",2,"13,270"
Turkey in the Eurovision Song Contest 1997,"3,475",Fewer than 30 watchers,26,Yes,"09:10, 8 May 2013","17:51, 2 July 2017",0,92
Harmstonia,"4,595",Fewer than 30 watchers,8,Yes,"21:43, 18 July 2009","06:31, 14 January 2018",1,43
"Washington Republican caucuses, 2012","11,477",Fewer than 30 watchers,16,Yes,"14:57, 10 October 2012","02:10, 10 December 2017",0,102
Robert Dillon,"1,769",Fewer than 30 watchers,31,Yes,"21:13, 8 July 2007","10:11, 26 March 2016",0,214
William Chauncey Fowler,"3,973",Fewer than 30 watchers,7,Yes,"01:40, 4 August 2015","09:42, 23 March 2017",0,108
Roxy Gordon,"1,765",Fewer than 30 watchers,29,Yes,"01:21, 19 August 2006","03:09, 11 September 2017",0,133
Craig Anderson (left-handed pitcher),"2,665",Fewer than 30 watchers,54,Yes,"15:50, 6 September 2007","13:58, 8 October 2016",0,112
Principles of Communism,"3,635",Fewer than 30 watchers,29,Yes,"18:55, 18 September 2014","18:28, 20 May 2017",0,"1,536"
Ned Blackhawk,"4,757",Fewer than 30 watchers,43,Yes,"15:19, 4 November 2009","05:32, 18 January 2018",2,339
One's Self I Sing,"4,894",Fewer than 30 watchers,45,Yes,"21:23, 18 November 2010","23:36, 24 December 2017",1,655
Damart,"4,780",Fewer than 30 watchers,91,Yes,"22:33, 5 October 2008","20:31, 25 December 2017",1,"1,384"
Civilian Pilot Training Program,"13,438",Fewer than 30 watchers,81,Yes,"00:13, 13 January 2006","12:37, 10 October 2017",0,816
Rhinoscapha hasterti,841,Fewer than 30 watchers,2,Yes,"09:17, 28 October 2013","12:16, 8 June 2014",0,13
Ardeu River,"3,620",Fewer than 30 watchers,31,Yes,"03:45, 5 July 2007","14:30, 30 December 2017",1,50
Lovisa von Burghausen,"12,745",Fewer than 30 watchers,137,Yes,"14:57, 11 March 2008","13:11, 19 January 2018",1,432
Nadine Roberts,"6,555",Fewer than 30 watchers,48,Yes,"02:53, 13 October 2014","00:41, 19 October 2017",0,95
Calatola,"1,189",Fewer than 30 watchers,18,Yes,"01:59, 21 August 2007","21:47, 16 October 2017",0,62
Yangtze,"107,200",205,"3,076",73,"06:02, 30 September 2001","00:51, 23 January 2018",8,"26,304"
Jorge Manuel Theotocópuli,"3,012",Fewer than 30 watchers,10,Yes,"20:08, 13 January 2015","21:29, 11 January 2018",1,268
Times of Cyprus,"6,718",Fewer than 30 watchers,19,Yes,"13:24, 22 September 2012","18:15, 13 June 2017",0,53
Oscar,892,Fewer than 30 watchers,19,Yes,"17:03, 19 December 2009","20:10, 17 May 2017",0,166
The Man Inside,"3,048",Fewer than 30 watchers,48,Yes,"23:09, 22 March 2008","04:20, 24 September 2017",0,278
"First Methodist Church (Waukesha, Wisconsin)","1,837",Fewer than 30 watchers,19,Yes,"08:41, 26 January 2012","08:04, 2 January 2018",1,37
Mlawu kaRarabe,636,Fewer than 30 watchers,15,Yes,"10:35, 27 September 2006","17:45, 5 November 2017",0,63
"Długie, Radomsko County","1,843",Fewer than 30 watchers,12,Yes,"23:45, 21 August 2008","10:17, 17 March 2017",0,46
Bong Ti,"4,558",Fewer than 30 watchers,14,Yes,"02:39, 13 May 2016","22:16, 13 March 2017",0,37
"School of Geography, University of Leeds","10,327",Fewer than 30 watchers,65,Yes,"15:04, 28 October 2010","12:46, 24 June 2017",0,96
Ernst Bickel,"2,927",Fewer than 30 watchers,7,Yes,"05:39, 1 November 2014","10:30, 25 April 2017",0,44
Crazy Blind Date,"4,377",Fewer than 30 watchers,60,Yes,"18:29, 10 July 2009","02:01, 22 August 2017",0,358
Betanzos (comarca),"2,950",Fewer than 30 watchers,40,Yes,"10:54, 2 December 2006","14:41, 29 September 2017",0,60
Birmingham Back to Backs,"11,958",Fewer than 30 watchers,110,Yes,"15:44, 4 July 2005","14:18, 16 January 2018",2,"2,276"
The Monarchy,"14,714",Fewer than 30 watchers,123,Yes,"17:50, 20 March 2006","01:10, 23 August 2017",0,220
Sincey-lès-Rouvray,"1,283",Fewer than 30 watchers,43,Yes,"16:30, 3 February 2008","06:19, 16 June 2017",0,54
Transportation in Johannesburg,"6,790",Fewer than 30 watchers,37,Yes,"09:52, 27 July 2016","21:58, 27 November 2017",0,235
Inker,"14,811",33,283,2,"16:01, 4 April 2004","17:10, 14 December 2017",0,"1,920"
Orange River (Florida),632,Fewer than 30 watchers,12,Yes,"13:23, 6 June 2014","02:06, 22 July 2017",0,71
Prix Versailles,"23,889",Fewer than 30 watchers,14,Yes,"15:55, 24 August 2016","10:18, 14 August 2017",0,106
Inman Line,"16,432",Fewer than 30 watchers,101,Yes,"14:51, 30 July 2006","03:30, 5 December 2017",0,692
List of ,"107,100",Fewer than 30 watchers,"2,427",Yes,"00:09, 16 November 2009","14:02, 25 December 2017",1,"2,080"
Michael Bolochoweckyj,"13,381",Fewer than 30 watchers,116,Yes,"21:30, 29 March 2007","20:41, 13 January 2018",2,368
List of marine bony fishes of South Africa,"69,341",Fewer than 30 watchers,104,Yes,"10:49, 5 January 2010","21:11, 15 November 2017",0,151
Florence Yoch,"4,469",Fewer than 30 watchers,22,Yes,"23:09, 15 October 2015","15:54, 11 August 2017",0,75
"Foster, Washington","2,530",Fewer than 30 watchers,17,Yes,"02:48, 14 April 2009","06:13, 19 February 2017",0,126
Marko Alvir,"3,093",Fewer than 30 watchers,9,Yes,"23:44, 16 July 2017","20:19, 21 December 2017",0,193
MV ,"11,385",Fewer than 30 watchers,18,Yes,"20:47, 26 January 2014","04:17, 21 December 2017",0,58
Daydreaming,"2,212",Fewer than 30 watchers,26,Yes,"00:10, 14 August 2009","14:00, 11 December 2016",0,55
Cedar Valley Jaguars,"2,670",Fewer than 30 watchers,16,Yes,"19:39, 15 January 2006","22:55, 3 December 2015",0,55
Car boot sale,"5,680",39,323,5,"12:54, 1 January 2005","06:59, 15 November 2017",0,"2,795"
Sinéad Noonan,"3,423",Fewer than 30 watchers,116,Yes,"14:41, 1 October 2008","13:48, 22 May 2017",0,200
R-7A Semyorka,"2,747",Fewer than 30 watchers,17,Yes,"22:20, 6 March 2009","21:40, 4 October 2017",0,812
Verbiesles,"1,002",Fewer than 30 watchers,34,Yes,"17:01, 16 February 2008","10:54, 10 July 2017",0,40
Ambalasoa,"5,163",Fewer than 30 watchers,12,Yes,"12:00, 4 May 2008","16:06, 11 March 2017",0,36
